Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function Receiving() | Data of Message: AdminId: 1999, req (*apptype.Request): &{1999 0 ru StaASD:L<A>SM<D>ASD<>Mrt registration}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function WelcomeAct() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 0 ru StaASD:L<A>SM<D>ASD<>Mrt registration}, res (*types.Response): &{  0  0 }
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function dir() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 0 ru StaASD:L<A>SM<D>ASD<>Mrt registration}, res (*types.Response): &{  1999 registration 0 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function greetingsToAdmin() | Data of Message: AdminId: 1999, res (*types.Response): &{  1999 registration 0 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function setKb() | Data of Message: fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}, crd ([]int): [1], names ([]string): [Зарегистрироваться], data ([]string): [GoReg]
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function Receiving() | Data of Message: AdminId: 1999, req (*apptype.Request): &{1999 0 ru 1231254123oi0p1234890190 registration}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function WelcomeAct() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 0 ru 1231254123oi0p1234890190 registration}, res (*types.Response): &{  0  0 }
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function dir() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 0 ru 1231254123oi0p1234890190 registration}, res (*types.Response): &{  1999 registration 0 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function greetingsToAdmin() | Data of Message: AdminId: 1999, res (*types.Response): &{  1999 registration 0 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function setKb() | Data of Message: fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}, crd ([]int): [1], names ([]string): [Зарегистрироваться], data ([]string): [GoReg]
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function Receiving() | Data of Message: AdminId: 1999, req (*apptype.Request): &{1999 0 ru PRIVET VSEM registration}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function WelcomeAct() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 0 ru PRIVET VSEM registration}, res (*types.Response): &{  0  0 }
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function dir() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 0 ru PRIVET VSEM registration}, res (*types.Response): &{  1999 registration 0 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function greetingsToAdmin() | Data of Message: AdminId: 1999, res (*types.Response): &{  1999 registration 0 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function setKb() | Data of Message: fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}, crd ([]int): [1], names ([]string): [Зарегистрироваться], data ([]string): [GoReg]
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function Receiving() | Data of Message: AdminId: 1999, req (*apptype.Request): &{1999 1 ru HELLLSDOP registration}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function WelcomeAct() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 1 ru HELLLSDOP registration}, res (*types.Response): &{  0  0 }
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function dir() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 1 ru HELLLSDOP registration}, res (*types.Response): &{  1999 registration 1 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function showRules() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 1 ru HELLLSDOP registration}, res (*types.Response): &{  1999 registration 1 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function greetingsToAdmin() | Data of Message: AdminId: 1999, res (*types.Response): &{  1999 registration 1 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function setKb() | Data of Message: fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}, crd ([]int): [1], names ([]string): [Зарегистрироваться], data ([]string): [GoReg]
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function Receiving() | Data of Message: AdminId: 1999, req (*apptype.Request): &{1999 1 ru KLAJDJKLASKJLDJKLASDKL registration}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function WelcomeAct() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 1 ru KLAJDJKLASKJLDJKLASDKL registration}, res (*types.Response): &{  0  0 }
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function dir() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 1 ru KLAJDJKLASKJLDJKLASDKL registration}, res (*types.Response): &{  1999 registration 1 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
